"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
2017-12-30 06:24:30,14.2139,-92.3939,37.77,4.2,"mb",NA,178,0.7,0.86,"us","us1000c0gx","2018-03-17T01:54:39.040Z","39km SSW of Ocos, Guatemala","earthquake",7,11.4,0.199,7,"reviewed","us","us"
2017-12-30 03:26:49,13.3712,-91.4497,10,4.1,"mb",NA,156,1.171,0.77,"us","us1000bxzk","2018-03-17T01:54:39.040Z","89km SSW of La Gomera, Guatemala","earthquake",6.3,1.9,0.096,30,"reviewed","us","us"
2017-12-29 09:42:40,13.8443,-92.0527,22.13,5.3,"mww",NA,78,0.76,1.36,"us","us1000bxl7","2018-03-17T01:54:38.040Z","52km SSW of Champerico, Guatemala","earthquake",4.7,4.4,0.089,12,"reviewed","us","us"
2017-12-28 09:16:24,13.9647,-92.3204,37.78,4.2,"mb",NA,184,0.823,1.44,"us","us1000bx34","2018-03-17T01:54:37.040Z","57km SW of Champerico, Guatemala","earthquake",6.2,16.6,0.121,19,"reviewed","us","us"
2017-12-27 23:50:37,31.1834,-103.3311,5,2.7,"mb_lg",NA,57,0.495,0.68,"us","us1000bwx0","2018-03-17T01:54:36.040Z","30km SSE of Pecos, Texas","earthquake",1.6,2,0.17,9,"reviewed","us","us"
2017-12-19 14:13:35,13.305,-91.5165,10,4.5,"mb",NA,143,1.224,0.8,"us","us1000bt2g","2018-03-14T00:58:23.040Z","99km SSW of La Gomera, Guatemala","earthquake",4.8,1.9,0.052,110,"reviewed","us","us"
2017-12-19 04:59:37,31.1514,-103.2392,5,2.5,"mb_lg",NA,51,0.242,0.7,"us","us1000bsxn","2018-03-14T00:58:22.040Z","38km SE of Pecos, Texas","earthquake",1.7,2,0.109,23,"reviewed","us","us"
2017-12-17 05:27:15,31.0396,-103.3588,1.19,3,"mb_lg",NA,62,0.122,0.78,"us","us2000c5cs","2018-03-14T00:58:20.040Z","44km SSE of Pecos, Texas","earthquake",1.6,2,0.089,39,"reviewed","us","us"
2017-12-16 18:15:50,26.3175,-96.1617,10,3,"ml",NA,218,1.971,0.84,"us","us2000c59g","2018-03-06T00:49:45.040Z","102km ENE of South Padre Island, Texas","earthquake",4.9,2,0.115,10,"reviewed","us","us"
2017-12-15 09:53:41,31.1384,-103.2814,5,3.3,"ml",NA,60,0.488,0.81,"us","us2000c4sj","2018-03-06T00:49:42.040Z","37km SSE of Pecos, Texas","earthquake",1.5,2,0.045,64,"reviewed","us","us"
