"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
2016-12-29 04:02:20,-2.1085,-78.0353,134.25,4.2,"mb",NA,62,0.977,0.59,"us","us10007tng","2017-03-23T22:52:08.040Z","24km NNE of Macas, Ecuador","earthquake",8,8.1,0.159,11,"reviewed","us","us"
2016-12-22 15:25:24,-2.1518,-80.2336,10,3.7,"mb",NA,208,1.024,0.9,"us","us10007m4m","2017-03-16T02:31:33.040Z","26km W of Santa Lucia, Ecuador","earthquake",4.2,2,0.226,5,"reviewed","us","us"
2016-12-21 01:04:51,0.9239,-79.6856,10,4.8,"mwr",NA,77,1.319,0.86,"us","us10007llb","2017-03-16T02:31:32.040Z","1km SSW of Propicia, Ecuador","earthquake",6.2,1.9,0.093,11,"reviewed","us","us"
2016-12-20 17:55:18,0.9739,-79.5919,25.3,4.1,"mb",NA,139,1.217,1.2,"us","us10007rfu","2017-03-16T02:31:31.040Z","11km ENE of Propicia, Ecuador","earthquake",5.5,10.9,0.301,3,"reviewed","us","us"
2016-12-20 17:39:23,0.9368,-79.6304,11.4,4.9,"mb",NA,130,1.27,0.79,"us","us10007lhs","2017-03-16T02:31:31.040Z","5km E of Propicia, Ecuador","earthquake",1.9,4.3,0.038,216,"reviewed","us","us"
2016-12-20 15:41:33,0.9148,-79.6875,10,4.6,"mb",NA,132,1.327,0.58,"us","us200082vm","2017-03-16T02:31:31.040Z","2km SSW of Propicia, Ecuador","earthquake",7.1,1.9,0.059,86,"reviewed","us","us"
2016-12-20 12:09:37,1.1396,-79.741,10,4.4,"mb",NA,141,1.663,1.01,"us","us10007rfb","2017-03-16T02:31:30.040Z","23km NNW of Propicia, Ecuador","earthquake",5.2,2,0.202,7,"reviewed","us","us"
2016-12-20 10:49:58,0.9054,-79.7553,10,4.8,"mwr",NA,78,1.529,0.96,"us","us200082tc","2017-03-16T02:31:30.040Z","8km WSW of Propicia, Ecuador","earthquake",6.1,1.9,0.078,16,"reviewed","us","us"
2016-12-19 08:57:14,0.7831,-79.7186,10,4.5,"mb",NA,78,1.432,0.95,"us","us200082ix","2017-03-16T02:31:29.040Z","17km SSW of Propicia, Ecuador","earthquake",6.4,1.9,0.055,98,"reviewed","us","us"
2016-12-19 07:24:57,0.8205,-79.6857,10,4.2,"mb",NA,117,1.424,0.74,"us","us10007rcf","2017-03-16T02:31:29.040Z","12km S of Propicia, Ecuador","earthquake",5,2,0.16,11,"reviewed","us","us"
2016-12-19 07:11:39,0.8754,-79.7079,10,5.4,"mwr",NA,24,1.474,0.95,"us","us200082i5","2017-03-16T02:31:29.040Z","6km SSW of Propicia, Ecuador","earthquake",5.9,1.5,0.073,18,"reviewed","us","us"
2016-12-16 01:53:06,-2.5888,-79.856,49.44,4.1,"mb",NA,94,0.61,0.94,"us","us200082fd","2017-03-16T02:31:22.040Z","27km WNW of Naranjal, Ecuador","earthquake",5.9,14.1,0.135,15,"reviewed","us","us"
2016-12-13 22:55:51,0.9465,-79.7679,28.52,4.4,"mb",NA,137,1.365,0.58,"us","us10007lri","2017-03-09T02:14:30.040Z","9km W of Propicia, Ecuador","earthquake",4.4,5.1,0.123,19,"reviewed","us","us"
2016-12-12 19:29:19,0.6163,-79.429,45.36,4.1,"mb",NA,218,1.099,0.73,"us","us200082va","2017-03-09T02:14:29.040Z","31km N of Rosa Zarate, Ecuador","earthquake",8.6,18.5,0.174,9,"reviewed","us","us"
2016-12-12 15:54:00,0.8529,-79.7855,34.94,5.2,"mww",NA,48,1.44,0.75,"us","us20008088","2017-03-09T02:14:29.040Z","14km SW of Propicia, Ecuador","earthquake",5.7,5.7,NA,NA,"reviewed","us","us"
2016-12-12 14:42:26,0.8666,-79.6942,35.3,4.7,"mb",NA,132,1.365,0.7,"us","us20008077","2017-03-09T02:14:28.040Z","7km S of Propicia, Ecuador","earthquake",4.8,7.8,0.052,112,"reviewed","us","us"
2016-12-12 11:12:17,-2.8249,-79.699,36.69,3.8,"mb",NA,165,0.567,1.18,"us","us200080bl","2017-03-09T02:14:28.040Z","16km NE of Balao, Ecuador","earthquake",5.1,25.6,0.227,5,"reviewed","us","us"
2016-12-01 19:35:23,-1.2451,-80.8659,27.65,4.6,"mb",NA,110,2.011,1.03,"us","us10007e3r","2017-02-23T00:11:55.040Z","30km SW of Montecristi, Ecuador","earthquake",6.5,2.8,0.101,30,"reviewed","us","us"
2016-11-19 19:55:52,-2.0389,-79.7797,76.84,4.4,"mb",NA,138,0.672,1.04,"us","us10007amh","2017-02-15T23:21:28.040Z","11km SSW of Samborondon, Ecuador","earthquake",5.1,6.7,0.103,27,"reviewed","us","us"
2016-11-19 04:05:26,-1.9019,-77.9607,163.81,4.1,"mb",NA,47,0.921,1.3,"us","us10007adn","2017-02-15T23:21:27.040Z","22km S of Palora, Ecuador","earthquake",7.6,8.3,0.198,7,"reviewed","us","us"
2016-10-28 07:33:51,-2.0379,-79.8363,67.41,3.6,"mb",NA,204,0.718,0.73,"us","us100072k7","2017-01-24T02:02:07.040Z","15km NNE of Guayaquil, Ecuador","earthquake",6.6,12.7,0.354,2,"reviewed","us","us"
2016-10-27 04:45:51,-1.1079,-80.3397,30.79,4.3,"mwr",NA,99,1.519,0.93,"us","us100072gt","2017-01-20T00:31:09.040Z","12km NNE of Santa Ana, Ecuador","earthquake",4.8,6.2,0.069,20,"reviewed","us","us"
2016-10-12 02:14:49,-1.6441,-78.1216,167.81,4.3,"mb",NA,50,0.762,0.98,"us","us20007fc2","2017-01-07T00:20:51.040Z","21km WNW of Palora, Ecuador","earthquake",8,8,0.129,17,"reviewed","us","us"
2016-09-30 16:45:12,-1.5967,-77.5526,170.92,4.9,"mb",NA,34,1.227,0.89,"us","us10006u5a","2017-01-03T21:10:39.040Z","43km ENE of Palora, Ecuador","earthquake",7.1,6.2,0.024,558,"reviewed","us","us"
2016-09-27 05:46:11,-0.1456,-78.4358,10,2.9,"ml",NA,152,0.38,0.47,"us","us10006tlr","2016-12-14T03:17:52.040Z","13km NE of Quito, Ecuador","earthquake",2.5,1.9,0.105,12,"reviewed","us","us"
