"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
2019-12-27 05:42:16,-18.0244,-178.4332,566.28,4.5,"mb",NA,74,3.357,0.72,"us","us70006rfs","2020-01-17T08:59:39.040Z","291km N of Ndoi Island, Fiji","earthquake",11.5,8.6,0.075,52,"reviewed","us","us"
2019-12-26 20:21:35,-17.6765,-178.5865,526.39,4.4,"mb",NA,78,3.204,0.78,"us","us70006xql","2020-01-21T15:48:31.040Z","257km ESE of Lambasa, Fiji","earthquake",7.9,8.1,0.117,21,"reviewed","us","us"
2019-12-26 19:04:30,-17.3876,-178.7528,546.9,4.8,"mb",NA,47,7.556,0.87,"us","us70006raz","2020-01-21T15:28:35.040Z","225km ESE of Lambasa, Fiji","earthquake",12.3,6.6,0.028,386,"reviewed","us","us"
2019-12-20 22:58:33,-17.8362,-178.5757,571.42,4.2,"mb",NA,135,3.213,0.75,"us","us70006x06","2020-01-11T02:27:11.040Z","268km SE of Lambasa, Fiji","earthquake",17.4,12.1,0.121,19,"reviewed","us","us"
2019-12-17 11:04:05,-17.8329,-178.5243,563.81,4.1,"mb",NA,131,3.262,0.53,"us","us70006u6j","2020-01-17T13:20:59.040Z","272km SE of Lambasa, Fiji","earthquake",15.4,11.5,0.152,12,"reviewed","us","us"
2019-12-17 07:00:56,-17.4745,-178.7831,519.75,4.3,"mb",NA,77,3.029,0.54,"us","us60006skd","2019-12-24T07:18:48.040Z","227km ESE of Lambasa, Fiji","earthquake",12.8,8.4,0.048,120,"reviewed","us","us"
2019-12-14 16:36:03,-16.2764,176.9734,10,4.6,"mb",NA,173,1.788,1.01,"us","us60006ri5","2020-01-12T15:06:00.040Z","157km NNW of Lautoka, Fiji","earthquake",9,2,0.146,16,"reviewed","us","us"
2019-12-12 05:14:06,-17.3202,-178.7955,537.95,4.1,"mb",NA,145,3.036,0.35,"us","us70006npq","2020-01-10T13:09:01.040Z","218km ESE of Lambasa, Fiji","earthquake",11.7,16.3,0.112,22,"reviewed","us","us"
2019-12-10 01:09:42,-18.1844,-179.1362,551.82,4.4,"mb",NA,82,2.711,0.79,"us","us70006r9t","2020-01-17T00:46:41.040Z","251km SE of Lambasa, Fiji","earthquake",9.1,8.4,0.102,28,"reviewed","us","us"
2019-12-09 18:17:03,-17.6755,-178.4857,535.35,4.3,"mb",NA,79,3.3,0.98,"us","us60006t86","2019-12-26T22:16:16.040Z","266km ESE of Lambasa, Fiji","earthquake",9.1,9.6,0.133,16,"reviewed","us","us"
2019-12-04 19:09:52,-17.9646,-178.7779,540.79,4.4,"mb",NA,80,8.469,1.1,"us","us60006qnt","2019-12-22T18:48:51.040Z","260km SE of Lambasa, Fiji","earthquake",13.9,7.3,0.12,20,"reviewed","us","us"
2019-12-03 21:55:36,-18.028,-178.4852,596.72,4.2,"mb",NA,122,3.308,0.76,"us","us60006q9j","2019-12-13T06:30:05.040Z","288km SE of Lambasa, Fiji","earthquake",13.1,7,0.096,30,"reviewed","us","us"
2019-12-01 01:40:34,-17.7589,-178.7516,608.54,4,"mb",NA,122,3.045,0.43,"us","us60006pg5","2019-12-11T01:44:22.040Z","247km SE of Lambasa, Fiji","earthquake",13.9,8.1,0.144,13,"reviewed","us","us"
2019-11-29 17:41:24,-16.6989,176.6894,10,4.8,"mb",NA,70,1.667,0.78,"us","us60006pf4","2020-01-01T17:35:35.040Z","130km NW of Lautoka, Fiji","earthquake",9.1,1.9,0.135,19,"reviewed","us","us"
2019-11-27 10:57:50,-17.278,-178.9307,543.8,4.1,"mb",NA,115,7.662,0.6,"us","us60006pcm","2019-12-26T11:50:12.040Z","203km ESE of Lambasa, Fiji","earthquake",10.1,11.1,0.145,13,"reviewed","us","us"
