"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
2019-12-30 06:16:52,-8.3909,-76.1617,127.11,4.6,"mb",NA,135,3.636,0.66,"us","us70006scn","2019-12-30T06:41:24.040Z","34km ENE of Uchiza, Peru","earthquake",11,6.2,0.048,128,"reviewed","us","us"
2019-12-29 13:45:33,-10.8774,-74.7925,52.58,4.6,"mb",NA,75,2.292,0.62,"us","us70006znh","2020-01-14T19:21:10.040Z","44km NNW of Satipo, Peru","earthquake",8.7,7.4,0.094,34,"reviewed","us","us"
2019-12-29 00:11:10,-14.8162,-71.9232,114.48,4.6,"mb",NA,101,3.621,1.03,"us","us70006s1l","2020-01-16T06:18:25.040Z","44km SSE of Santo Tomas, Peru","earthquake",9.3,5.8,0.089,38,"reviewed","us","us"
2019-12-28 05:57:02,-10.7681,-78.3795,58.96,4.3,"mb",NA,195,1.934,1.18,"us","us70006rt6","2020-01-18T10:07:44.224Z","60km W of Paramonga, Peru","earthquake",14.1,11,0.168,10,"reviewed","us","us"
2019-12-26 08:18:12,-16.2943,-72.9001,109.62,4.3,"mb",NA,127,3.199,0.7,"us","us70006xqe","2020-01-16T07:32:56.040Z","41km NNW of Camana, Peru","earthquake",9.1,8.6,0.177,9,"reviewed","us","us"
2019-12-19 13:55:36,-13.8656,-76.382,54.97,4.2,"mb",NA,167,1.919,0.52,"us","us70006uad","2020-01-17T16:07:42.040Z","12km W of Paracas, Peru","earthquake",11.6,11.7,0.305,3,"reviewed","us","us"
2019-12-18 12:24:58,-15.4729,-72.4428,128.7,4.6,"mb",NA,133,3.513,0.76,"us","us60006t5u","2020-01-16T12:34:54.040Z","25km SSW of Orcopampa, Peru","earthquake",9,10,0.182,9,"reviewed","us","us"
2019-12-16 18:07:22,-14.7276,-73.5381,88.88,4.2,"mb",NA,166,4.214,0.84,"us","us70006tt9","2020-01-06T19:57:37.040Z","41km E of Tambo, Peru","earthquake",9.7,11.1,0.303,3,"reviewed","us","us"
2019-12-16 05:07:37,-6.1651,-75.7561,27.25,4.4,"mb",NA,88,5.068,0.76,"us","us60006s13","2020-01-13T08:02:02.040Z","46km SE of Yurimaguas, Peru","earthquake",8.5,4.5,0.127,18,"reviewed","us","us"
2019-12-15 19:23:37,-14.5096,-72.3758,103.65,4.9,"mb",NA,133,4.138,1.18,"us","us60006rvh","2020-01-12T19:44:07.040Z","32km WSW of Santo Tomas, Peru","earthquake",10.3,10.2,0.034,271,"reviewed","us","us"
2019-12-12 17:13:06,-14.0953,-72.7509,78.09,4.4,"mb",NA,112,4.503,0.79,"us","us70006nql","2019-12-26T23:33:59.040Z","52km SSE of Abancay, Peru","earthquake",11.3,7.9,0.162,11,"reviewed","us","us"
2019-12-11 00:50:37,-2.4299,-76.6711,130.16,4.2,"mb",NA,96,3.191,1.32,"us","us60006t8v","2020-01-16T02:06:06.040Z","161km E of Macas, Ecuador","earthquake",9.1,7,0.083,40,"reviewed","us","us"
2019-12-09 15:43:43,-15.6417,-71.6791,133.55,4.8,"mb",NA,125,2.863,1.14,"us","us60006p89","2019-12-18T21:15:25.040Z","8km W of Chivay, Peru","earthquake",7.6,7,0.076,64,"reviewed","us","us"
2019-12-08 02:24:46,-9.7037,-75.5281,98.78,4.7,"mb",NA,102,2.611,1.12,"us","us60006nsk","2020-01-04T01:46:47.952Z","69km SE of Tingo Maria, Peru","earthquake",4,6,0.057,92,"reviewed","us","us"
2019-12-06 00:07:39,-17.3802,-69.6004,151.34,4.4,"mb",NA,91,0.237,1.4,"us","us60006mqm","2019-12-08T03:39:05.040Z","47km ENE of Tarata, Peru","earthquake",8.1,7,0.155,12,"reviewed","us","us"
2019-12-05 03:23:19,-13.6781,-76.0687,35.03,5.2,"mww",NA,121,1.841,0.67,"us","us60006m8p","2020-01-14T02:55:43.040Z","8km E of San Clemente, Peru","earthquake",7.9,4.8,0.056,31,"reviewed","us","us"
2019-12-03 19:07:10,-4.9899,-76.3071,28.15,4.4,"mb",NA,137,4.497,0.5,"us","us60006q9n","2020-01-14T18:48:30.040Z","46km ESE of Barranca, Peru","earthquake",6.6,8.1,0.127,19,"reviewed","us","us"
2019-12-03 07:16:52,-15.8194,-73.0321,71.4,4.5,"mwr",NA,95,3.613,0.98,"us","us70006fgy","2020-01-20T13:21:33.040Z","95km NNW of Camana, Peru","earthquake",3.7,5.9,NA,NA,"reviewed","us","guc"
